Number Count,cleaned_questions,Array,String,Dynamic Programming,Math,Hash Table,Greedy,Sorting,Depth-First Search,Breadth-First Search,Binary Search
0,two sum given array integer nums integer target return index two number add target may assume input would exactly one solution may use element twice return answer order,1,0,0,0,1,0,0,0,0,0
1,add two number given two nonempty linked list representing two nonnegative integer digit stored reverse order node contains single digit add two number return sum linked list may assume two number contain leading zero except number itself,0,0,0,1,0,0,0,0,0,0
0,longest substring without repeating character given string find length longest substring without repeating character,0,1,0,0,1,0,0,0,0,0
2,median two sorted array given two sorted array nums nums size respectively return median two sorted array overall run time complexity olog,1,0,0,0,0,0,0,0,0,1
0,longest palindromic substring given string return longest palindromic substring,0,1,1,0,0,0,0,0,0,0
0,zigzag conversion string paypalishiring written zigzag pattern given number row like this you may want display pattern fixed font better legibility read line line pahnaplsiigyir write code take string make conversion given number row,0,1,0,0,0,0,0,0,0,0
7,reverse integer given signed bit integer return digit reversed reversing cause value outside signed bit integer range return assume environment allow store bit integer signed unsigned,0,0,0,1,0,0,0,0,0,0
1,string integer atoi implement myatoistring function convert string bit signed integer similar cc atoi function algorithm myatoistring follows note,0,1,0,0,0,0,0,0,0,0
0,palindrome number given integer return true palindrome integer integer palindrome read backward forward,0,0,0,1,0,0,0,0,0,0
0,regular expression matching given input string pattern implement regular expression matching support where matching cover entire input string not partial,0,1,1,0,0,0,0,0,0,0
1,container water given integer array height length vertical line drawn two endpoint ith line heighti find two line together xaxis form container container contains water return maximum amount water container store notice may slant container,1,0,0,0,0,1,0,0,0,0
3,integer roman roman numeral represented seven different symbol example written roman numeral two one added together written xii simply number written xxvii roman numeral usually written largest smallest left right however numeral four iiii instead number four written one five subtract making four principle applies number nine written six instance subtraction used given integer convert roman numeral,0,1,0,1,1,0,0,0,0,0
3,roman integer roman numeral represented seven different symbol example written roman numeral two one added together written xii simply number written xxvii roman numeral usually written largest smallest left right however numeral four iiii instead number four written one five subtract making four principle applies number nine written six instance subtraction used given roman numeral convert integer,0,1,0,1,1,0,0,0,0,0
0,longest common prefix write function find longest common prefix string amongst array string common prefix return empty string,0,1,0,0,0,0,0,0,0,0
2,sum given integer array nums return triplet numsi numsj numsk numsi numsj numsk notice solution set must contain duplicate triplet,1,0,0,0,0,0,1,0,0,0
