cleaned_questions,Number Count,Array,String,Dynamic Programming,Math,Hash Table,Greedy,Sorting,Depth-First Search,Breadth-First Search,Binary Search
probability two box number distinct ball given ball distinct color given integer array ball size ballsi number ball color ball shuffled uniformly random distribute first ball first box remaining ball box please read explanation second example carefully please note two box considered different example two ball color two box distribution considered different distribution please read explanation first example carefully return probability two box number distinct ball answer within actual value accepted correct,3,0,0,1,1,0,0,0,0,0,0
surrounded region given matrix board containing capture region directionally surrounded region captured flipping surrounded region,1,1,0,0,0,0,0,0,1,1,0
delete leaf given value given binary tree root integer target delete leaf node value target note delete leaf node value target parent node becomes leaf node value target also deleted you need continue cannot,0,0,0,0,0,0,0,0,1,0,0
number subsequence satisfy given sum condition given array integer nums integer target return number nonempty subsequence nums sum minimum maximum element le equal target since answer may large return modulo,2,1,0,0,0,0,0,1,0,0,1
valid tictactoe state given tictactoe board string array board return true possible reach board position course valid tictactoe game board array consists character character represents empty square rule tictactoe,2,1,1,0,0,0,0,0,0,0,0
shortest bridge given binary matrix grid represents land represents water island directionally connected group connected exactly two island grid may change connect two island form one island return smallest number must flip connect two island,8,1,0,0,0,0,0,0,1,1,0
change minimum character satisfy one three condition given two string consist lowercase letter one operation change character lowercase letter goal satisfy one following three condition return minimum number operation needed achieve goal,0,0,1,0,0,1,0,0,0,0,0
count collision road car infinitely long road car numbered left right car present unique point given indexed string direction length directionsi either denoting whether ith car moving towards left towards right staying current point respectively moving car speed number collision calculated follows collision car involved longer move stay point collided that car cannot change state direction motion return total number collision happen road,3,0,1,0,0,0,0,0,0,0,0
design browser history browser one tab start homepage visit another url get back history number step move forward history number step implement browserhistory class example constraint,0,1,0,0,0,0,0,0,0,0,0
iterator combination design combinationiterator class,0,0,1,0,0,0,0,0,0,0,0
number restricted path first last node undirected weighted connected graph given positive integer denotes graph node labeled array edge edgesi weighti denotes edge node weight equal weighti path node start node end sequence node start end edge distance path sum weight edge path let distancetolastnodex denote shortest distance path node node restricted path path also satisfies distancetolastnodezi distancetolastnodezi return number restricted path node node since number may large return modulo,14,0,0,1,0,0,0,0,0,0,0
skyline problem city skyline outer contour silhouette formed building city viewed distance given location height building return skyline formed building collectively geometric information building given array building buildingsi lefti righti heighti may assume building perfect rectangle grounded absolutely flat surface height skyline represented list key point sorted xcoordinate form xyxy key point left endpoint horizontal segment skyline except last point list always ycoordinate used mark skyline termination rightmost building end ground leftmost rightmost building part skyline contour note must consecutive horizontal line equal height output skyline instance acceptable three line height merged one final output such,23,1,0,0,0,0,0,0,0,0,0
find unique binary string given array string nums containing unique binary string length return binary string length appear nums multiple answer may return them,0,1,1,0,0,0,0,0,0,0,0
find difference given two string string generated random shuffling string add one letter random position return letter added,0,0,1,0,0,1,0,1,0,0,0
strange printer strange printer following two special requirement given matrix targetgrid targetgridrowcol color position row col grid return true possible print matrix targetgrid otherwise return false,0,1,0,0,0,0,0,0,0,0,0
form largest integer digit add target given array integer cost integer target return maximum integer paint following rule since answer may large return string way paint integer given condition return,1,1,0,1,0,0,0,0,0,0,0
divisor game alice bob take turn playing game alice starting first initially number chalkboard player turn player make move consisting also player cannot make move lose game return true alice win game assuming player play optimally,0,0,0,1,1,0,0,0,0,0,0
water bottle numbottles water bottle initially full water exchange numexchange empty water bottle market one full water bottle operation drinking full water bottle turn empty bottle given two integer numbottles numexchange return maximum number water bottle drink,0,0,0,0,1,0,0,0,0,0,0
minimum absolute difference given array distinct integer arr find pair element minimum absolute difference two element return list pair ascending orderwith respect pair pair follows,0,1,0,0,0,0,0,1,0,0,0
nary tree preorder traversal given root nary tree return preorder traversal node value narytree input serialization represented level order traversal group child separated null value see example,0,0,0,0,0,0,0,0,1,0,0
range sum bst given root node binary search tree two integer low high return sum value node value inclusive range low high,0,0,0,0,0,0,0,0,1,0,0
product array except self given integer array nums return array answer answeri equal product element nums except numsi product prefix suffix nums guaranteed fit bit integer must write algorithm run time without using division operation,1,1,0,0,0,0,0,0,0,0,0
throne inheritance kingdom consists king child grandchild every while someone family dy child born kingdom welldefined order inheritance consists king first member let define recursive function successorx curorder given person inheritance order far return next person order inheritance example assume kingdom consists king child alice bob alice older bob finally alices son jack using function always obtain unique order inheritance implement throneinheritance class,0,0,0,0,0,1,0,0,1,0,0
loud rich group people labeled person different amount money different level quietness given array richer richeri indicates money integer array quiet quieti quietness ith person given data richer logically correct data lead situation richer richer time return integer array answer answerx least quiet person that person smallest value quiety among people definitely equal money person,2,1,0,0,0,0,0,0,1,0,0
rotate function given integer array nums length assume arrk array obtained rotating nums position clockwise define rotation function nums follow return maximum value test case generated answer fit bit integer,4,1,0,1,1,0,0,0,0,0,0
palindrome partitioning iii given string containing lowercase letter integer need return minimal number character need change divide string,0,0,1,1,0,0,0,0,0,0,0
increasing subsequence given integer array nums return different possible increasing subsequence given array least two element may return answer order given array may contain duplicate two equal integer also considered special case increasing sequence,0,1,0,0,0,1,0,0,0,0,0
minimum genetic mutation gene string represented character long string choice suppose need investigate mutation gene string start gene string end one mutation defined one single character changed gene string also gene bank bank record valid gene mutation gene must bank make valid gene string given two gene string start end gene bank bank return minimum number mutation needed mutate start end mutation return note starting point assumed valid might included bank,2,0,1,0,0,1,0,0,0,1,0
decode way message containing letter encoded number using following mapping decode encoded message digit must grouped mapped back letter using reverse mapping there may multiple way example mapped into note grouping invalid cannot mapped since different addition mapping above encoded message may contain character represent digit excluded example encoded message may represent encoded message decoding equivalent decoding encoded message represent given string consisting digit character return number way decode since answer may large return modulo,23,0,1,1,0,0,0,0,0,0,0
hand straight alice number card want rearrange card group group size groupsize consists groupsize consecutive card given integer array hand handi value written ith card integer groupsize return true rearrange card false otherwise,0,1,0,0,0,1,1,1,0,0,0
interleaving string given string find whether formed interleaving interleaving two string configuration divided nonempty substring that note concatenation string,6,0,1,1,0,0,0,0,0,0,0
predict winner given integer array nums two player playing game array player player player player take turn player starting first player start game score turn player take one number either end array nums numsnumslength reduces size array player add chosen number score game end element array return true player win game score player equal player still winner also return true may assume player playing optimally,11,1,0,1,1,0,0,0,0,0,0
minimum move convert string given string consisting character either move defined selecting three consecutive character converting note move applied character stay same return minimum number move required character converted,0,0,1,0,0,0,1,0,0,0,0
number longest increasing subsequence given integer array nums return number longest increasing subsequence notice sequence strictly increasing,0,1,0,1,0,0,0,0,0,0,0
sum digit base given integer base base return sum digit converting base base converting digit interpreted base number sum returned base,4,0,0,0,1,0,0,0,0,0,0
minimum cost move chip position chip position ith chip positioni need move chip position one step change position ith chip positioni return minimum cost needed move chip position,0,1,0,0,1,0,1,0,0,0,0
find peak element peak element element strictly greater neighbor given integer array nums find peak element return index array contains multiple peak return index peak may imagine nums numsn must write algorithm run olog time,1,1,0,0,0,0,0,0,0,0,1
reducing dish chef collected data satisfaction level dish chef cook dish unit time liketime coefficient dish defined time taken cook dish including previous dish multiplied satisfaction level timei satisfactioni return maximum sum liketime coefficient chef obtain dish preparation dish prepared order chef discard dish get maximum value,1,1,0,1,0,0,1,1,0,0,0
reverse vowel string given string reverse vowel string return vowel appear case,0,0,1,0,0,0,0,0,0,0,0
maximum gap given integer array nums return maximum difference two successive element sorted form array contains le two element return must write algorithm run linear time us linear extra space,1,1,0,0,0,0,0,1,0,0,0
custom sort string given two string order word order unique sorted custom order previously permute character match order order sorted specifically character occurs character order occur permuted string return permutation satisfies property,0,0,1,0,0,1,0,1,0,0,0
random point nonoverlapping rectangle given array nonoverlapping axisaligned rectangle rects rectsi indicates bottomleft corner point ith rectangle topright corner point ith rectangle design algorithm pick random integer point inside space covered one given rectangle point perimeter rectangle included space covered rectangle integer point inside space covered one given rectangle equally likely returned note integer point point integer coordinate implement solution class,0,0,0,0,1,0,0,0,0,0,1
largest color value directed graph directed graph colored node edge node numbered given string color colorsi lowercase english letter representing color ith node graph indexed also given array edge edgesj indicates directed edge node node valid path graph sequence node directed edge every color value path number node colored frequently occurring color along path return largest color value valid path given graph graph contains cycle,10,0,0,1,0,1,0,0,0,0,0
check integer range covered given integer array range two integer left right rangesi starti endi represents inclusive interval starti endi return true integer inclusive range left right covered least one interval range return false otherwise integer covered interval rangesi starti endi starti endi,1,1,0,0,0,1,0,0,0,0,0
oone data structure design data structure store string count ability return string minimum maximum count implement allone class,0,0,0,0,0,1,0,0,0,0,0
sum even number query given integer array nums array query queriesi vali indexi query first apply numsindexi numsindexi vali print sum even value nums return integer array answer answeri answer ith query,0,1,0,0,0,0,0,0,0,0,0
card flipping game given card positive integer printed front back card possibly different flip number card possibly zero choosing front back card pick card integer printed back card printed front card integer good given two integer array front back frontsi backsi integer printer front back ith card respectively return smallest good integer flipping card good integer return note flip swap front back number value front back vice versa,1,1,0,0,0,1,0,0,0,0,0
find duplicate array given integer array nums length integer nums range integer appears twice return array integer appears twice must write algorithm run time us constant extra space,1,1,0,0,0,1,0,0,0,0,0
number good way split string given string split called good split two nonempty string sleft sright concatenation equal sleft sright number distinct letter sleft sright same return number good split make,0,0,1,1,0,0,0,0,0,0,0
trim binary search tree given root binary search tree lowest highest boundary low high trim tree element lie low high trimming tree change relative structure element remain tree node descendant remain descendant proven unique answer return root trimmed binary search tree note root may change depending given bound,0,0,0,0,0,0,0,0,1,0,0
exclusive time function singlethreaded cpu execute program containing function function unique function call stored call stack function call start pushed onto stack function call end popped stack function whose top stack current function executed time function start end write log whether started ended timestamp given list log logsi represents ith log message formatted string functionidstart endtimestamp example start mean function call function started beginning timestamp end mean function call function ended end timestamp note function called multiple time possibly recursively function exclusive time sum execution time function call program example function called twice one call executing time unit another call executing time unit exclusive time return exclusive time function array value ith index represents exclusive time function,15,1,0,0,0,0,0,0,0,0,0
partition array three part equal sum given array integer arr return true partition array three nonempty part equal sum formally partition array find index arr arr arri arri arri arrj arrj arrj arrarrlength,8,1,0,0,0,0,1,0,0,0,0
minimum depth binary tree given binary tree find minimum depth minimum depth number node along shortest path root node nearest leaf node note leaf node child,0,0,0,0,0,0,0,0,1,1,0
find minimum time finish job given integer array job jobsi amount time take complete ith job worker assign job job assigned exactly one worker working time worker sum time take complete job assigned them goal devise optimal assignment maximum working time worker minimized return minimum possible maximum working time assignment,0,1,0,1,0,0,0,0,0,0,0
strong password checker password considered strong condition met given string password return minimum number step required make password strong password already strong return one step can,1,0,1,0,0,0,1,0,0,0,0
domino tromino tiling two type tile domino shape tromino shape may rotate shape given integer return number way tile board since answer may large return modulo tiling every square must covered tile two tiling different two directionally adjacent cell board exactly one tiling square occupied tile,6,0,0,1,0,0,0,0,0,0,0
check character equal number occurrence given string return true good string false otherwise string good character appear number occurrence frequency,0,0,1,0,0,1,0,0,0,0,0
apply discount every order supermarket frequented many customer product sold supermarket represented two parallel integer array product price ith product productsi price pricesi customer paying bill represented two parallel integer array product amount jth product purchased productj amountj much product bought subtotal calculated sum amountj price jth product supermarket decided sale every nth customer paying grocery given percentage discount discount amount given discount given discount percent subtotal formally subtotal bill would actually pay bill discount implement cashier class,2,1,0,0,0,1,0,0,0,0,0
group anagram given array string strs group anagram together return answer order anagram word phrase formed rearranging letter different word phrase typically using original letter exactly once,0,0,1,0,0,1,0,1,0,0,0
path sum given root binary tree integer targetsum return true tree roottoleaf path adding value along path equal targetsum leaf node child,0,0,0,0,0,0,0,0,1,1,0
last stone weight given array integer stone stonesi weight ith stone playing game stone turn choose heaviest two stone smash together suppose heaviest two stone weight result smash end game one stone left return smallest possible weight left stone stone left return,1,1,0,0,0,0,0,0,0,0,0
recover binary search tree given root binary search tree bst value exactly two node tree swapped mistake recover tree without changing structure,0,0,0,0,0,0,0,0,1,0,0
find pivot index given array integer nums calculate pivot index array pivot index index sum number strictly left index equal sum number strictly index right index left edge array left sum element left also applies right edge array return leftmost pivot index index exists return,2,1,0,0,0,0,0,0,0,0,0
check number sum power three given integer return true possible represent sum distinct power three otherwise return false integer power three exists integer,1,0,0,0,1,0,0,0,0,0,0
smallest range given integer array nums integer index numslength change numsi either numsi numsi score nums difference maximum minimum element nums return minimum score nums changing value index,1,1,0,0,1,0,1,1,0,0,0
